0,IMG_ID,2,3,4,5,6,7,8,9,10,11,LON,LAT,14,15,16,17,18,19,20,21,22,23,24
1,10201275523.jpg,6ae91cc04fe06697c9404a5360b9b62,55289779@N00,booledozer,30:13.0,1381464628,Panasonic+DMC-ZS10,Images+from+the+intersection+of+Parliament+and+Queen%2C+2013+10+09+%283%29,,,,-79.365637,43.649708,16,http://www.flickr.com/photos/55289779@N00/10201275523/,http://farm6.staticflickr.com/5465/10201275523_3e6ea67c7f.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,5465,6,3e6ea67c7f,f400826feb,jpg,0
3,7289030198.jpg,b545e6a773632e2e65e6ecf1bf385,53430201@N03,sarabeephoto,23:30.0,1338233199,Canon+EOS+DIGITAL+REBEL+XSi,blip+fest+2012+night+3,,"blip,blip12ny,blipfest,blipfestival,blipfestival2012,blipfestivalnewyork,blipfestivalnewyork2012,chipmusic,chiptune,chiptunes",,-73.985495,40.740067,15,http://www.flickr.com/photos/53430201@N03/7289030198/,http://farm8.staticflickr.com/7231/7289030198_1f1ba44113.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,7231,8,1f1ba44113,bc36823aec,jpg,0
7,4572998878.jpg,cefea4e4b5c2e2dfde9dd4312eebef5,78969707@N00,jkgreenstein12,28:20.0,1272843440,Panasonic+DMC-LS70,Matt+and+Diana+Wedding+weekend,Greeny%27s%2C+Christines%2C+Andy%2C+Jeeane+and+Lou%27s+photos+from+the+wedding+weekend.,"diana,matt,wedding",,-71.047843,42.33719,16,http://www.flickr.com/photos/78969707@N00/4572998878/,http://farm4.staticflickr.com/3373/4572998878_658b45226f.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,3373,4,658b45226f,a0777fdc0f,jpg,0
34,2764520341.jpg,a22b94f8654e46b225c1a4a366efe9d,22841923@N02,Gwena%C3%ABl+Piaser,02:58.0,1218800135,Canon+PowerShot+G5,Santa+Maria+della+Salute,Canal+Grande%2C+Venice.,"%E5%A8%81%E5%B0%BC%E6%96%AF,2004,august,baldassare,basilica,basilique,canal,canal+grande,church,della,grand,grande,gwenflickr,health,italia,italie,italy,longhena,maria,salute,salvation,santa,santa+maria,santa+maria+della+salute,venezia,venice,venise",,12.333354,45.439357,13,http://www.flickr.com/photos/22841923@N02/2764520341/,http://farm4.staticflickr.com/3209/2764520341_91189bf885.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,3209,4,91189bf885,288b175d9d,jpg,0
61,4224177264.jpg,a535d410aa7c45abe7112623394d0f1,36989139@N03,Enterpr1se,42:30.0,1262051690,NIKON+CORPORATION+NIKON+D80,DSC_0698,,"%E7%95%A2%E6%A5%AD%E7%9B%B8,congregation",,114.172041,22.280847,16,http://www.flickr.com/photos/36989139@N03/4224177264/,http://farm5.staticflickr.com/4053/4224177264_87a841e2b6.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,4053,5,87a841e2b6,9e74498a1e,jpg,0
68,7196543710.jpg,f088b7626df7abfd7e414ddd6c4de71e,59809888@N06,Community+History+SA,11:50.0,1337008502,Canon+EOS+550D,Salvation+Army+SA+Heritage+Centre%2C+Archive+%26+Museum,,"adelaide,church+history,nailsworth,salvation+army,south+australia",,138.604736,-34.885742,15,http://www.flickr.com/photos/59809888@N06/7196543710/,http://farm6.staticflickr.com/5075/7196543710_eea9ce01b3.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,5075,6,eea9ce01b3,d45a0875ba,jpg,0
81,2578705815.jpg,e1e6019fc9df711740e52691bc1293,29501028@N00,aaron_anderer,26:44.0,1213497092,Canon+PowerShot+A540,IMG_0959,,,,-123.044643,44.653512,11,http://www.flickr.com/photos/29501028@N00/2578705815/,http://farm3.staticflickr.com/2137/2578705815_49c1400479.jpg,Attribution-NoDerivs License,http://creativecommons.org/licenses/by-nd/2.0/,2137,3,49c1400479,5cf72eb71f,jpg,0
82,3320208977.jpg,1875924cad17d87fd476dddce4cb61f,44048128@N00,adamjackson1984,48:57.0,1235951912,Canon+PowerShot+S410,IMG_0077.JPG,,"aikido,arts,augustine,fighting,florida,martial,saint,st.,uwaf",,-81.325092,29.819348,12,http://www.flickr.com/photos/44048128@N00/3320208977/,http://farm4.staticflickr.com/3603/3320208977_0053ba8cb9.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,3603,4,0053ba8cb9,b23d33e6f9,jpg,0
97,6148238788.jpg,76b29e107821459ae321fb95826e036,16926694@N06,Arthur+Kantemirov,18:17.0,1316031288,Canon+EOS+7D,IMG_6583ed,,"arthur+kantemirov,arthur+kantemirov+photography",,87.372894,51.799273,10,http://www.flickr.com/photos/16926694@N06/6148238788/,http://farm7.staticflickr.com/6153/6148238788_8289773860.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,6153,7,8289773860,6799b0a1c1,jpg,0
102,9317551405.jpg,38e95825ffa713e7479893253b7d5,12659736@N02,DanWendell,47:01.0,1374220426,NIKON+CORPORATION+NIKON+D5100,DSC_0136%28xr6h%29,,,,-77.045595,38.867205,16,http://www.flickr.com/photos/12659736@N02/9317551405/,http://farm4.staticflickr.com/3807/9317551405_c48130beb2.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,3807,4,c48130beb2,015ae6b973,jpg,0
113,2971664261.jpg,55d012e72fcb523a92fd39f2e382dd,25622716@N02,thisisbossi,12:52.0,1224961790,Canon+PowerShot+A640,IMG_2322+-+M%C3%BCnchen+-+Neues+Rathaus,,"city+hall,city+halls,columns,deutschland,germany,m%C3%BCnchen,munich,neues+rathaus",,11.565341,48.136709,12,http://www.flickr.com/photos/25622716@N02/2971664261/,http://farm4.staticflickr.com/3171/2971664261_d3bfdcecf7.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,3171,4,d3bfdcecf7,2e3da292d5,jpg,0
126,3141231450.jpg,1de0560d83de5f37d15d5bbcdd59c7,10596458@N08,fung1981,45:44.0,1230383796,Canon+PowerShot+S5+IS,,,"%E5%85%AC%E5%9C%92,%E5%98%89%E9%81%93%E7%90%86,%E5%98%89%E9%81%93%E7%90%86%E8%BE%B2%E5%A0%B4%E6%9A%A8%E6%A4%8D%E7%89%A9%E5%9C%92,%E5%A4%A7%E5%9F%94,%E5%A4%A7%E5%B8%BD%E5%B1%B1,%E8%BE%B2%E5%A0%B4,%E9%A6%99%E6%B8%AF,farm,garden,hong+kong,kadoorie,kadoorie+farm+%26+botanic+garden,mountain,park,tai+mo+shan,tai+po",,114.118788,22.432847,16,http://www.flickr.com/photos/10596458@N08/3141231450/,http://farm4.staticflickr.com/3091/3141231450_f3192c7798.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,3091,4,f3192c7798,fcd582e093,jpg,0
133,3222715183.jpg,47bf490e751189211b0ac901d79b3b6,15181848@N02,amandabhslater,33:39.0,1232829219,,Juice+and+Peel,Applying+knives+and+squeezers%2C+convert+the+fruit+into+this%21,"how+to+make+marmalade,jars,juice,marmalade,oranges,peel,seville",,-1.566066,52.448235,16,http://www.flickr.com/photos/15181848@N02/3222715183/,http://farm4.staticflickr.com/3485/3222715183_e986af0420.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,3485,4,e986af0420,24ecb7dc1d,jpg,0
141,9047721345.jpg,7928ae2454bb2619823715ce406c8fec,32305224@N07,roger+joseph,38:14.0,1371298491,NIKON+CORPORATION+NIKON+D7000,San+Piero+a+Grado+%28Toscane%29%2C+la+basilique+-+04,,"toscana,tuscany",,10.34882,43.679232,14,http://www.flickr.com/photos/32305224@N07/9047721345/,http://farm8.staticflickr.com/7284/9047721345_cbcb45a91d.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,7284,8,cbcb45a91d,d9a3343b42,jpg,0
145,8063920174.jpg,915fab518db317451112a7f1aa6dc3de,31058815@N00,Ryan+Buterbaugh,04:59.0,1349637123,Panasonic+DMC-TS2,Elephants+linked+trunk+to+tail,Bali+-+Elephant+Safari+Park+-+April+2012%3A+Riding+and+feeding+elephants+near+Ubud,"2012,april,bali,elephant,fall,indonesia,park,ride,safari,ubud",,115.28424,-8.392478,16,http://www.flickr.com/photos/31058815@N00/8063920174/,http://farm9.staticflickr.com/8173/8063920174_7c98457730.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,8173,9,7c98457730,bdb6e62a9f,jpg,0
150,4684204212.jpg,b96c05d663f487e6cf3d08e79746d79,22602880@N00,raffik,29:56.0,1276050666,Apple+iPhone+3GS,%40brianellin%27s+dinner,,,,-122.401334,37.782166,16,http://www.flickr.com/photos/22602880@N00/4684204212/,http://farm5.staticflickr.com/4066/4684204212_a21c2bc9c9.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,4066,5,a21c2bc9c9,3e0c1fbf06,jpg,0
163,2939073272.jpg,f7d369a2ba725e55f2ed1c4bc295252a,12294315@N05,Sunshine+Cathedral+MCC,09:45.0,1223921591,,Dr.+John+C.+Graves+Chancel+Dedication,Dedication+plaque,chancel+dedication,,-80.15319,26.103065,15,http://www.flickr.com/photos/12294315@N05/2939073272/,http://farm4.staticflickr.com/3227/2939073272_2b37f9f126.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,3227,4,2b37f9f126,f00218dbb3,jpg,0
186,7925056016.jpg,8ecbf2cf586f76308a18447f1e53c3,14385475@N05,punctuum,12:10.0,1346709538,Apple+iPhone+4,IMG_1030,,,,8.678833,50.109166,16,http://www.flickr.com/photos/14385475@N05/7925056016/,http://farm9.staticflickr.com/8455/7925056016_2e56e7538b.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,8455,9,2e56e7538b,1fd4551bd7,jpg,0
