IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,candidate_0_gps,candidate_1_gps,candidate_2_gps,candidate_3_gps,candidate_4_gps,candidate_5_gps,candidate_6_gps,candidate_7_gps,candidate_8_gps,candidate_9_gps,candidate_10_gps,candidate_11_gps,candidate_12_gps,candidate_13_gps,candidate_14_gps,candidate_15_gps,candidate_16_gps,candidate_17_gps,candidate_18_gps,candidate_19_gps,reverse_0_gps,reverse_1_gps,reverse_2_gps,reverse_3_gps,reverse_4_gps,reverse_5_gps,reverse_6_gps,reverse_7_gps,reverse_8_gps,reverse_9_gps,reverse_10_gps,reverse_11_gps,reverse_12_gps,reverse_13_gps,reverse_14_gps,reverse_15_gps,reverse_16_gps,reverse_17_gps,reverse_18_gps,reverse_19_gps,rag_coordinates,rag_response
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,2.0,12.0,353.0,0.2742415107956457,0.0451132812117336,0.6806452318211216,"[20.506038, -86.957151]","[20.580478, -87.117612]","[19.925475, -155.887005]","[20.510962, -87.23093]","[20.523073, -87.199001]","[32.763748, -117.213134]","[12.126606, -68.947448]","[19.375808, -81.304637]","[36.12043, -115.177649]","[-27.955496, 153.425263]","[20.510962, -87.23093]","[21.275698, -157.819959]","[20.510962, -87.23093]","[7.267799, 134.339447]","[41.441696, -71.906375]","[21.170805, -86.830787]","[21.170805, -86.830787]","[32.763748, -117.213134]","[25.069118, -77.335166]","[12.088926, -68.89183]","[49.525695, 5.936834]","[51.359752, 4.308033]","[51.7048, -4.311447]","[49.038768, 7.946548]","[53.179061, -4.21817]","[50.99246, 3.261898]","[43.268206, -3.767001]","[51.463723, -3.162399]","[51.7048, -4.311447]","[55.704356, 13.192831]","[52.685364, -1.831841]","[50.121506, 3.931056]","[47.63159, 2.735509]","[45.024705, 4.490318]","[50.352635, 2.489004]","[43.314936, -1.582031]","[52.006808, -3.618289]","[50.815811, 3.607192]","[51.7048, -4.311447]","[49.756446, 6.642501]","['20.510962', '-87.23093']","['{""latitude"": 20.510962, ""longitude"": -87.23093}']"
1000304467_1a75a200b1_1296_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,0.0,4.0,325.0,0.4144071981658115,0.2209120956432286,0.3646807240505865,"[20.506038, -86.957151]","[21.170805, -86.830787]","[24.768577, -80.946536]","[21.170805, -86.830787]","[24.767909, -80.946852]","[21.170805, -86.830787]","[21.170805, -86.830787]","[-27.955496, 153.425263]","[20.580478, -87.117612]","[32.327648, -64.832532]","[19.922963, -155.880804]","[44.964797, 37.287597]","[7.267799, 134.339447]","[23.197805, -81.000308]","[-28.031076, 153.427505]","[21.170805, -86.830787]","[24.767909, -80.946852]","[34.634361, 138.910789]","[12.088926, -68.89183]","[-0.747049, -90.714111]","[40.482625, -3.364273]","[41.37296, 2.173318]","[42.846394, -2.673172]","[43.235367, -2.937004]","[44.443615, 1.450216]","[40.954492, -4.1082]","[43.257229, -2.935538]","[40.964218, -5.663849]","[44.599497, 2.398313]","[40.807459, -0.845153]","[40.653205, -4.69938]","[42.457469, -6.05717]","[44.955323, -93.102285]","[40.327832, -0.574035]","[41.38712, 2.163963]","[40.954492, -4.1082]","[43.763163, 11.264215]","[41.403096, 2.158598]","[40.65799, -4.695914]","[45.046351, 3.885995]",,
1001048550_8e4b47d165_1051_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,1.0,8.0,36.0,0.0073260589499772,0.969902786099567,0.022771086561514,"[37.928187, -122.597293]","[23.005043, 120.138416]","[-1.231403, -90.40718]","[1.447326, 103.727889]","[40.864036, -73.882005]","[34.745839, -92.28919]","[37.767453, -122.468338]","[34.145228, -118.805465]","[14.511886, -90.736598]","[59.485455, 17.214546]","[30.347842, -81.417317]","[-30.295906, 153.125258]","[-42.163785, 145.395718]","[-36.450059, 174.764002]","[-6.1624, 39.193897]","[-34.57885, -58.441321]","[22.07876, -159.419496]","[39.983598, 116.487607]","[43.50853, 7.048083]","[45.740244, 8.650746]","[41.674807, -0.499362]","[48.202653, 16.360187]","[49.263323, 4.026489]","[50.259511, 19.021711]","[47.504837, 19.050185]","[51.058714, 13.731365]","[48.206188, 16.363849]","[48.72, 21.2565]","[48.306333, 14.286]","[51.216131, -114.715976]","[51.456636, 7.011131]","[41.674807, -0.499362]","[50.089171, 14.402475]","[51.335311, 12.372627]","[52.953246, -1.150335]","[50.087134, 14.429083]","[52.830565, -1.377067]","[51.359752, 4.308033]","[45.463753, 9.189848]","[46.898794, 7.926807]",,
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,91728102@N00,29.976052,122.390356,2.0,6.0,273.0,0.0038678313118225,0.4766645653071464,0.5194675129778261,"[36.255858, 117.103447]","[24.431677, 118.137702]","[37.437656, 126.410236]","[26.574403, 106.708145]","[22.476375, 114.362396]","[29.975527, 122.391466]","[29.979638, 122.389922]","[30.70332, 122.469406]","[34.654597, 136.449519]","[29.976513, 122.390877]","[30.716603, 122.523994]","[25.143963, 121.802673]","[29.978847, 122.373894]","[22.226104, 113.983497]","[26.164722, 119.95255]","[39.998058, 116.266212]","[34.004177, 131.3722]","[39.997833, 116.268]","[34.383351, 133.384172]","[24.445899, 118.06303]","[51.544973, -0.896759]","[47.669109, -117.396767]","[52.338748, -2.278018]","[52.2145, 0.126166]","[44.875751, -98.51757]","[44.007999, -97.526512]","[50.896997, -114.066935]","[33.760105, -84.398753]","[52.075839, -0.268521]","[52.604833, -1.844167]","[41.674807, -0.499362]","[52.624245, -1.132943]","[44.284598, -78.330854]","[50.972487, -113.992713]","[40.588314, -105.07711]","[29.54075, -95.271313]","[51.519638, -0.076045]","[52.953246, -1.150335]","[51.536259, 0.00854]","[29.54075, -95.271313]",,
1008804117_ce4e6fef8a_1349_97522422@N00.jpg,97522422@N00,46.478536,30.758714,0.0,0.0,198.0,0.973877783486106,0.0024525042022389,0.0236696602595065,"[48.507675, 32.268894]","[44.830308, 34.919357]","[49.89312, -97.156863]","[44.764286, 21.482391]","[42.308207, -82.993211]","[49.841082, 24.031906]","[59.945382, 30.283813]","[49.843052, 24.029691]","[59.812184, -151.612529]","[47.236879, 40.040187]","[55.041204, 82.892875]","[59.926234, 30.325468]","[55.645472, 38.009036]","[48.152344, 17.110519]","[36.550051, -4.623141]","[50.446533, 30.51338]","[49.841179, 24.032871]","[57.531262, 38.323659]","[42.213593, -83.198946]","[37.983377, -1.131849]","[34.145518, -83.812755]","[33.249275, -111.843566]","[33.249275, -111.843566]","[30.138595, -97.636871]","[36.634315, -79.85198]","[28.279742, -96.743373]","[34.150205, -83.813753]","[36.283166, -115.009732]","[49.963699, -6.295766]","[33.567573, -86.070241]","[50.123989, -5.459819]","[39.794886, -86.235036]","[38.157878, -122.452326]","[36.516034, -82.256913]","[39.790269, -86.238341]","[27.454055, -81.351088]","[37.361425, -113.356933]","[33.249275, -111.843566]","[33.388166, -84.317665]","[33.249275, -111.843566]",,
1008845063_ace4ef829f_1204_97522422@N00.jpg,97522422@N00,46.478536,30.758714,2.0,11.0,61.0,0.3293921160957325,0.0514122805520855,0.619195551654002,"[55.665834, 37.49122]","[53.202947, 50.159701]","[55.723243, 37.598648]","[55.759456, 37.646627]","[55.718401, 37.612299]","[55.751088, 37.609945]","[55.48019, 65.317237]","[47.227054, 39.745343]","[55.771069, 37.644428]","[56.857267, 60.596412]","[54.628692, 39.701585]","[55.656066, 37.496734]","[59.946666, 30.345333]","[55.803391, 37.584754]","[50.621152, 14.734897]","[55.645472, 38.009036]","[45.288535, 33.045845]","[50.527396, 30.454101]","[59.950014, 30.224869]","[55.74668, 37.599635]","[54.389557, -1.94208]","[54.071577, -2.152462]","[54.071275, -2.285714]","[54.067674, -2.134609]","[34.145518, -83.812755]","[54.071577, -2.157783]","[51.944589, -3.036513]","[54.304493, -2.19954]","[53.986275, -1.886644]","[54.07193, -2.158813]","[53.981342, -1.889144]","[55.013315, -2.330592]","[52.006808, -3.618289]","[36.585863, -121.754007]","[55.0135, -2.329166]","[54.061389, -2.152379]","[54.061389, -2.152379]","[53.370527, -1.816949]","[54.183534, -2.193317]","[54.429516, -2.981071]",,
101220879_0a1be45b79_33_24311489@N00.jpg,24311489@N00,42.249915,-87.82711,1.0,8.0,249.0,7.1890073538305455e-06,0.9968880413262404,0.003104854417826,"[42.26255, -71.347272]","[34.721815, -86.737841]","[42.244086, -91.17588]","[37.762954, -92.124009]","[43.041938, 11.817919]","[42.026917, -73.832416]","[38.583897, -97.674373]","[35.005428, -96.914091]","[36.149639, -86.85427]","[38.938717, -77.184791]","[41.64749, -87.896461]","[50.938364, -110.942859]","[40.152583, -82.890547]","[59.058697, 14.929733]","[59.408578, 17.93945]","[38.763537, -77.30328]","[51.279997, -0.95375]","[43.67993, -79.290647]","[39.612837, -75.073378]","[40.651259, -98.971066]","[43.270206, -2.950172]","[28.4189, -16.550484]","[25.03757, 121.563443]","[55.190383, -6.709127]","[-13.517117, -71.978098]","[43.771538, 11.255227]","[44.411865, 8.920898]","[46.171011, 9.872095]","[25.03541, 121.52014]","[28.367338, -16.710779]","[43.31528, -1.998299]","[41.674807, -0.499362]","[53.400155, -2.97119]","[42.240559, -8.727414]","[28.359531, -16.370658]","[49.26044, -123.114028]","[-13.516867, -71.978153]","[43.322867, -1.991942]","[6.256227, -75.595979]","[-23.516164, -46.636619]",,
1014898753_ef4cfaa5d6_1354_96928198@N00.jpg,96928198@N00,62.140088,6.074967,1.0,7.0,350.0,0.0423872550824067,0.9495366928697012,0.0080761330469608,"[51.52345, -0.085766]","[39.640987, -77.393735]","[49.114986, -123.153587]","[43.550399, 6.991069]","[41.920496, -111.800007]","[46.302854, -124.044515]","[37.826692, -122.422875]","[41.836332, -87.707011]","[35.326629, -112.874839]","[32.177855, -110.852447]","[42.583541, -71.267495]","[56.472494, -2.842197]","[37.881255, -121.914424]","[40.70797, -73.999099]","[40.752834, -73.846664]","[29.908176, -97.704881]","[-26.624288, 152.468004]","[45.271307, -75.572934]","[51.548257, -4.18195]","[59.905225, 10.770211]","[45.463753, 9.189848]","[47.504837, 19.050185]","[26.26843, 73.029876]","[41.674807, -0.499362]","[37.513674, 126.996889]","[43.763163, 11.264215]","[-13.551969, -72.069168]","[46.171011, 9.872095]","[48.205727, 16.363363]","[6.256227, -75.595979]","[26.26843, 73.029876]","[49.263323, 4.026489]","[26.909365, 70.913314]","[26.913651, 75.793819]","[48.206188, 16.363849]","[26.300869, 73.019266]","[43.323131, -1.98679]","[-13.520627, -71.986455]","[42.880579, -8.545839]","[39.47644, -0.375348]",,
1019846234_5e471a10e2_1155_97522422@N00.jpg,97522422@N00,42.197494,44.693069,0.0,2.0,95.0,0.5993098890070883,0.1642040295000697,0.2364859955902147,"[59.324607, 18.070449]","[57.475973, -4.226024]","[56.056522, -2.651374]","[54.287988, -0.390722]","[53.411782, -2.991027]","[-13.518672, -71.986198]","[-24.895779, 128.147964]","[-33.910029, 150.974614]","[51.184561, -3.332226]","[52.452049, -2.23302]","[38.878204, -104.886474]","[55.489222, -1.594912]","[36.012172, -113.81072]","[50.804313, -1.973401]","[30.320285, 35.483436]","[-26.509904, 142.075195]","[44.676662, -124.065084]","[39.191886, -94.678287]","[55.671316, -1.801757]","[38.647291, -109.735431]","[34.044097, -118.265998]","[29.185362, -81.064724]","[50.259511, 19.021711]","[-6.166091, 39.191579]","[64.129183, -21.918756]","[41.674807, -0.499362]","[49.117088, -122.817756]","[49.284889, -122.793952]","[33.765198, -118.190145]","[49.111186, -122.829551]","[28.279742, -96.743373]","[51.053609, 3.724919]","[27.454055, -81.351088]","[-6.774589, 39.241447]","[40.24944, -111.6514]","[21.035427, 105.850363]","[31.595132, 130.546932]","[68.447535, 17.433972]","[41.879, -87.630334]","[36.709026, -6.036815]",,
1021054395_ca7cfe55b3_1061_7132415@N03.jpg,7132415@N03,-0.400997,-90.704498,1.0,6.0,191.0,0.2229462628503071,0.4703152232535217,0.3067385358962973,"[-0.329588, -91.032714]","[-21.781579, 13.955039]","[-22.093911, 14.25476]","[-0.396416, -90.289174]","[-35.984118, 137.25563]","[-21.769702, 13.963623]","[-0.747049, -90.714111]","[-0.274657, -90.563049]","[-1.368182, -89.740447]","[-0.572052, -90.158786]","[-45.896579, 170.651321]","[-0.483392, -90.758056]","[-21.779905, 13.980102]","[-44.111253, 170.145263]","[-21.883164, 14.067306]","[-1.253543, -90.464773]","[-22.108543, 14.317932]","[-1.376162, -89.675731]","[-21.769702, 13.963623]","[-0.394732, -90.271482]","[46.171011, 9.872095]","[45.744766, 11.655893]","[45.816283, 8.249969]","[43.352675, 12.573122]","[43.763163, 11.264215]","[46.051314, 11.131896]","[45.953999, 12.660381]","[46.067528, 11.121135]","[44.464875, 7.365989]","[42.01257, 24.877624]","[45.883794, 10.840866]","[45.092504, 7.34112]","[45.407892, 11.873205]","[46.19415, 9.024925]","[45.194823, 5.724756]","[43.860671, 18.439607]","[43.336483, 17.814577]","[47.80112, 13.038454]","[45.6186, 9.281558]","[43.343922, 17.810554]",,
