,IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban
58,1076964851_c20355b981_1431_93455345@N00.jpg,93455345@N00,43.137069,131.929321,2,15,178,0.0340634081619555,0.1013298794205184,0.8646068131929496
59,1076986527_4de9d086bc_1124_93455345@N00.jpg,93455345@N00,43.137069,131.929321,2,14,201,0.0707678169826522,0.3147503383661387,0.6144818956363451
60,1077074655_69c5dba648_1048_93455345@N00.jpg,93455345@N00,52.045734,113.411865,2,11,226,0.0462024355082917,0.0494231469055534,0.9043743334342764
61,1077086393_e1aea6d21e_1090_93455345@N00.jpg,93455345@N00,52.32191,104.227294,2,10,174,0.0183138179051383,0.0699341160415656,0.9117521519156072
62,1077155473_80c037f16a_1120_93455345@N00.jpg,93455345@N00,51.733832,39.25415,2,10,175,0.0025217401392279,0.2118768088174079,0.7856015386192468
63,107717568_95f67ce436_37_17351226@N00.jpg,17351226@N00,59.929043,30.313854,2,11,108,0.0026758604321415,0.0072382938701167,0.9900858661415411
64,1077208489_d307c44d40_1355_93455345@N00.jpg,93455345@N00,43.137069,131.929321,2,12,273,0.0040401736539479,0.1097897278021946,0.8861701573957816
65,107723582_6c02eba98c_44_17351226@N00.jpg,17351226@N00,59.929043,30.313854,0,0,198,0.9936725306275846,0.0002652123892783,0.0060622767693256
66,107723692_6abd246261_52_17351226@N00.jpg,17351226@N00,59.929043,30.313854,0,3,98,0.874363671568716,0.0303865917005907,0.0952497244513068
67,107723908_e96144f997_56_17351226@N00.jpg,17351226@N00,59.929043,30.313854,1,7,306,0.0005610755096228,0.6396603551938966,0.3597785519842489
68,1077244783_6b676179aa_1032_93455345@N00.jpg,93455345@N00,51.733832,39.25415,2,10,175,0.0005718614375922,0.4529122812524093,0.5465159947195986
69,1077872058_04a9b36974_1148_93455345@N00.jpg,93455345@N00,50.656425,27.160949,1,7,306,0.0038252619355745,0.5337648722154427,0.4624099082239539
70,1077955412_5c254dabba_1246_93455345@N00.jpg,93455345@N00,54.788017,55.964355,2,10,175,2.6146608670174487e-05,0.325705325604285,0.6742685097061041
140,1121659017_07efbb5264_1399_93455345@N00.jpg,93455345@N00,43.137069,131.929321,1,6,171,0.0006307325594114,0.6059181272669178,0.3934510764495371
464,1397079054_476c297c47_1182_67879480@N00.jpg,67879480@N00,55.749723,37.624998,2,12,83,0.1437671364276411,0.0175015613810387,0.8387313007866624
842,219856380_2a6e77dd3e_70_67879480@N00.jpg,67879480@N00,55.749723,37.624998,2,11,226,0.0053927984945216,0.008987520628616,0.9856196022787316
843,219858712_6077ca65fb_75_67879480@N00.jpg,67879480@N00,55.749723,37.624998,0,0,115,0.8471049882656132,0.0017436861981821,0.1511512884845274
1117,259420071_436696c584_105_67879480@N00.jpg,67879480@N00,56.02218,39.976501,1,8,141,0.0037568999116501,0.8198649189187961,0.1763782659870969
1450,304916397_c365a931b6_119_14491548@N00.jpg,14491548@N00,59.716858,30.393848,1,8,249,0.0009109271583893,0.9914079446806312,0.0076810725806777
1451,305158305_be21c1299c_114_65367662@N00.jpg,65367662@N00,50.429573,30.555252,2,11,154,0.0062131976601889,0.1462100386147735,0.8475767714093578
